sentiment_word-情感关键词,sentiment_anls-情感正负面
方便;,1;
很好;很好;喜欢;,1;1;1;
快;给力;满意;满意;,1;1;1;1;
值得;信赖;满意;,1;1;1;
挺好;,1;
偏白;久;一般;实惠;很好;清晰;,-1;0;0;1;1;1;
可以;不对;,1;-1;
高大上;不凉;,1;0;
不好用;好;,-1;1;
不正常;松动;,-1;-1;
不错;好;,1;1;
,
干;假货;,-1;-1;
很好;,1;
好;不错;好评;,1;1;1;
不错;,1;
,
很高;满意;不错;流畅;给力;热心;很好;,1;1;1;1;1;1;1;
能用;不行;还可以;,1;-1;1;
大爱;很好;,1;1;
很好;深;,1;-1;
还可以;,1;
后悔;,-1;
平价;不错;,0;1;
坏;烫;不亮;不行了;好评;,-1;-1;-1;0;1;
,
没有安静;不错;很烫;够大;,-1;1;-1;1;
满意;,1;
旧;,-1;
漂亮;不错;高;,1;1;1;
很好;,1;
满意;,1;
挺快;很好;不错;不错;快;实惠;,1;1;1;1;1;1;
很强;很美;,1;1;
不满意;差;,-1;-1;
还可以;信得过;便宜;,1;1;1;
还可以;,1;
好;清晰;喜欢;,1;1;1;
挺好;给力;,1;1;
还可以;坏掉;,1;-1;
很差;,-1;
一般;还行;,0;1;
很好;满意;,1;1;
有杂音;,-1;
,
好;,1;
不好;,-1;
垃圾;,-1;
适合;不错;,1;1;
可以;,1;
还可以;,1;
还可以;不错;,1;1;
破;太重;坚固;,-1;-1;1;
不符;,-1;
不错;很好;高;,1;1;1;
吓人;还可以;,-1;1;
可以;模糊;不错;,1;-1;1;
不对;,-1;
不错;,1;
很棒;正常;过大;低调;,1;1;-1;0;
喜欢;,1;
好;不错;,1;1;
不错;方便;很好;,1;1;1;
不好;,-1;
不错;,1;
正品;赞;满意;用心;划算;好;,1;1;1;1;1;1;
及时;点赞;,1;1;
不好;,-1;
瑕疵;,-1;
伤心;,-1;
,
贴合;到位;,1;1;
给力;,1;
五星;满意;,1;1;
喜欢;不错;,1;1;
物有所值;快;,1;1;
夸张;,-1;
太差;一般;,-1;0;
,
没不好用;不暖;,1;-1;
也好;很好;很快;满意;,1;1;1;1;
low;还行;重;适合;,-1;1;-1;1;
瘪;,-1;
棒;,1;
挺好;硬;淡淡的;很大;,1;-1;1;1;
挺好;很好;,1;1;
不好;坏掉;,-1;-1;
假货;正品;很多;干涩;,-1;1;1;-1;
方便;,1;
正品;不错;很快;满意;,1;1;1;1;
烂;,-1;
可以;不错;简陋;,1;1;-1;
,
,
差;,-1;
小贵;不错;,-1;1;
晃动;不要便宜货;明显;二手;差;不卡;,-1;1;0;-1;-1;1;
一般;,0;
适合;愉快;满意;很多;贴心;挺好;合适;很好;很美;高;好评;正品;,1;1;1;1;1;1;1;1;1;1;1;1;
二手;脏;,-1;-1;
实用;,1;
,
粗糙;太薄;不舒服;差强人意;没有好;,-1;0;-1;-1;-1;
不错;简陋;,1;-1;
,
不错;丝滑;,1;1;
不错;方便;,1;1;
很好;,1;
很多;,1;
很久;,-1;
不适;喜欢;遗憾;,-1;1;-1;
,
能干;很好;,1;1;
差;很差;,-1;-1;
不错;不方便;不实用;,1;-1;-1;
遗憾;还行;,-1;1;
挺好;可以;免费;,1;1;1;
干净;贵;没软软的;好气;瞎扯;好看;,1;-1;-1;-1;-1;1;
破裂;,-1;
不是结实;搞不定;麻烦;,-1;-1;-1;
廉价;很次;易碎;很烂;,1;-1;-1;-1;
够大;清晰;喜欢;划算;,1;1;1;1;
,
不好用;,-1;
不好;不错;好;,-1;1;1;
不错;挺快;还可以;,1;1;1;
挺好;很好;不错;,1;1;1;
不错;,1;
,
不好;不好;,-1;-1;
假货;,-1;
还可以;不适;,1;-1;
不是正品;伤心;好;,-1;-1;1;
还好;可以;不清楚;,1;1;-1;
假货;没好;没有问题;过敏;严重;明显;没有过敏;,-1;-1;1;-1;-1;0;1;
很脏;,-1;
不太好;一般;,-1;0;
假货;,-1;
假货;正品;过敏;严重;,-1;1;-1;-1;
还行;不是纯正;,1;-1;
挺好;,1;
不要被骗;不好;太差;,1;-1;-1;
不错;还可以;,1;1;
满意;满分;,1;1;
滋润;呛鼻;还好;还好;,1;-1;1;1;
物美价廉;很好;,1;1;
简单;一般;,1;0;
一般;不太好;,0;-1;
,
不好;慢;后悔;暗;,-1;-1;-1;-1;
,
浓郁;,1;
好;快;满意;,1;1;1;
垃圾;,-1;
,
很多;柔顺;,1;1;
便宜;可以;,1;1;
还好;,1;
不好用;坏;裂;容易;,-1;-1;-1;1;
不是一般;差;,0;-1;
,
不错;满意;,1;1;
很痒;不是明显;好;失望;,-1;0;1;-1;
便宜;挺好;够用;,1;1;1;
满意;专业;,1;1;
好用;不错;挺好;,1;1;1;
滋润;细腻;喜欢;淡淡的;,1;1;1;1;
差评;臭臭的;,-1;-1;
还行;慢;,1;-1;
很好;,1;
很好;不错;,1;1;
差;很高;,-1;1;
,
挺好;,1;
,
,
,
方便;愉快;,1;1;
差;好烦;不好;,-1;-1;-1;
不满意;,-1;
不是好;,-1;
不好用;不用不好;不干净;,-1;1;-1;
不好;,-1;
慢;,-1;
粗糙;不精致;,-1;-1;
,
低;不错;,-1;1;
不错;,1;
不是满意;,-1;
不要好;长;差;,-1;1;-1;
,
不满意;很差;,-1;-1;
太重;不舒服;,-1;-1;
可以;轻松;,1;1;
不好;可以;,-1;1;
不是很干;一般;难以避免;,1;0;-1;
,
不适;,-1;
不适;滋润;朴素;可以;不明显;很大;,-1;1;0;1;0;1;
便宜;欢喜;,1;1;
不错;,1;
不错;信任;,1;1;
挺快;不错;差;,1;1;-1;
不是一般;好评;,0;1;
快;很差;好;,1;-1;1;
慢;,-1;
差;不是很好;,-1;-1;
单薄;正常;耐用;,-1;1;1;
不是很好;ok;一般;失望;,-1;1;0;-1;
,
不好;,-1;
一般般;新鲜;,0;1;
高速;好点;卡;符合;还可以;满意;久;,1;1;-1;1;1;1;0;
经济;郁闷;很好;适用;给力;,1;-1;1;1;1;
好;,1;
很好;不错;瑕疵;,1;1;-1;
臭;还好;,-1;1;
接触不良;,-1;
看不懂;,-1;
拆封过;,-1;
满意;不错;挺好;很多;挺好;,1;1;1;1;1;
漂亮;薄;一般;快;,1;0;0;1;
将就;厌烦;,-1;-1;
好;起泡;,1;-1;
,
错;nb;欺骗;,-1;1;-1;
还可以;,1;
不要费钱;便宜;,1;1;
,
差不多;通用;蛮好;,0;1;1;
很高;挺好;小了点;,1;1;-1;
有噪音;不好;不好;,-1;-1;-1;
坏;,-1;
假货;郁闷;不对;坏;坑爹;假货;不对;,-1;-1;-1;-1;-1;-1;-1;
不错;,1;
不好;坏;,-1;-1;
能用;顺心;,1;1;
不适;费钱;,-1;-1;
,
不错;好;,1;1;
干;,-1;
挺快;还可以;,1;1;
快;还行;,1;1;
无语;黑心;,-1;-1;
漏液;差;,-1;-1;
发错;头痛;容易;,-1;-1;1;
快;不错;好;实惠;,1;1;1;1;
不负责;没事;还好;变形;,-1;0;1;-1;
,
废品;最好;,-1;1;
快;,1;
还行;很快;很好;很快;很轻;,1;1;1;1;1;
,
快;无声;满意;好;,1;0;1;1;
不符;,-1;
喜欢;,1;
不行;,-1;
还好;,1;
不适;不滋润;适合;,-1;-1;1;
,
不包邮;清楚;垃圾;,-1;1;-1;
能用;,1;
愉快;喜欢;,1;1;
不喜欢;,-1;
坏;,-1;
,
烂;不怎么满意;可以;,-1;-1;1;
不值;不值;,-1;-1;
假;不行;很快;,-1;-1;1;
,
碎;,-1;
还可以;正品;,1;1;
差评;,-1;
没好看;,-1;
坑人;,-1;
严重;,-1;
挺好;喜欢;,1;1;
长;不好;封闭;不油;,1;-1;1;1;
五星;不太爽;便宜;明显;好用;,1;-1;1;0;1;
难闻;,-1;
随意;方便;便宜;干净;,1;1;1;1;
喜欢;很棒;,1;1;
正品;不错;,1;1;
碎;不行;,-1;-1;
,
还可以;,1;
坏;,-1;
高;了得;碎;好;,1;1;-1;1;
还好;,1;
,
不错;,1;
满意;,1;
很齐;喜欢;很快;,1;1;1;
一般;快;好;,0;1;1;
不开心;破;,-1;-1;
挺好;好;,1;1;
快;旧;,1;-1;
没有好;还行;,-1;1;
稍慢;不错;不错;,-1;1;1;
不油;发痒;,1;-1;
垃圾;,-1;
不明显;,0;
实惠;满意;好;,1;1;1;
,
正品;好;,1;1;
还可以;,1;
干;,-1;
,
,
温暖;挺长;,1;1;
慢;,-1;
不安;,-1;
准;,1;
,
不卡;还可以;不错;流畅;流畅;清晰;很好;,1;1;1;1;1;1;1;
顺利;棒棒哒;及时;,1;1;1;
挺好;,1;
,
实用;挺好;棒棒哒;,1;1;1;
,
还好;满意;,1;1;
挺好;也好;满意;,1;1;1;
辛苦;周到;好用;,1;1;1;
很快;严重;,1;-1;
差评;,-1;
没有问题;很快;,1;1;
,
轻;,1;
很快;不卡;,1;1;
还行;,1;
滋润;舒服;正品;好用;不油;,1;1;1;1;1;
滋润;敏感;对得起;,1;1;1;
好;很差;恶心;有划痕;脏;,1;-1;-1;-1;-1;
不好;不好用;,-1;-1;
不少;便宜;清楚;挺好;,1;1;1;1;
未及时;好评;,-1;1;
很烂;不算快;碎;,-1;-1;-1;
还可以;,1;
省心;省事;可爱;好用;,1;1;1;1;
好;仔细;粗壮;完好无损;满意;,1;1;1;1;1;
很差;,-1;
太差;差;可以;,-1;-1;1;
假冒伪劣;假;不理;,-1;-1;-1;
无语;,-1;
不错;,1;
深;差不多;快;点赞;,-1;0;1;1;
不错;,1;
快捷;认真负责;满意;,1;1;1;
太贵;,-1;
,
不错;,1;
一般;,0;
蛮好;,1;
贵;,-1;
方便;讲究;漂亮;很大;精致;高;,1;1;1;1;1;1;
普通;失望;脏;,0;-1;-1;
好看;不错;到位;细心;很干;满意;不满意;,1;1;1;1;-1;1;-1;
粗大;谨慎;,0;0;
挺好;太长;,1;-1;
一般;,0;
遗憾;挺厚;脆弱;不是喜欢;,-1;1;-1;-1;
失望;干;,-1;-1;
不利;,-1;
,
挺好;,1;
,
好看;满意;静音;快;,1;1;1;1;
最好;,1;
挺大;不错;喜欢;,1;1;1;
还可以;,1;
漂亮;很好;,1;1;
蛮大;还行;,1;1;
不错;喜欢;好评;好;,1;1;1;1;
不错;知足;,1;1;
挺高;干;,1;-1;
不错;不错;挺长;,1;1;1;
差评;,-1;
长;还行;便宜;,1;1;1;
,
仔细;好;满意;,1;1;1;
正品;新;不错;淡淡的;不油;,1;1;1;1;1;
,
,
不错;,1;
失望;伤心;,-1;-1;
受不了;,-1;
不是正品;很短;,-1;-1;
不错;,1;
超慢;,-1;
粗糙;,-1;
清晰;不错;满意;,1;1;1;
,
不行;能用;没有问题;还好;没有问题;好;可以;行;,-1;1;1;1;1;1;1;1;
不错;,1;
硬;,-1;
垃圾;,-1;
不舒适;还可以;,-1;1;
满意;很好;迅速;很好;满意;,1;1;1;1;1;
重;,-1;
不值;有问题;狗屁;,-1;-1;-1;
单薄;不错;小了点;不错;准;,-1;1;-1;1;1;
差;,-1;
好;,1;
麻烦;不满意;坏;好;可恨;费时;,-1;-1;-1;1;-1;-1;
一塌糊涂;不当;坏;失望;不是很好;松松垮垮;粗糙;很小;,-1;-1;-1;-1;-1;-1;-1;1;
很慢;不怎么好;,-1;-1;
慢;伤心;,-1;-1;
完好;离谱;,1;-1;
不开心;慢;,-1;-1;
不错;很快;标配;,1;1;0;
臭;,-1;
太差;,-1;
一般;,0;
,
不错;,1;
不错;可以;,1;1;
不错;用心;简单;规范;适合;结实;费;牢固;没有松垮;很棒;,1;1;1;1;1;1;-1;1;1;1;
不太好;,-1;
很快;,1;
,
慢;太差;垃圾;,-1;-1;-1;
烦人;破;旧;,-1;-1;-1;
不要很差;,1;
,
物美价廉;好;,1;1;
挺快;好;可以;挺好;也好;值得;,1;1;1;1;1;1;
流畅;极速;极速;爽;给力;,1;1;1;1;1;
不满意;被用过;脏;,-1;-1;-1;
很多;假;,1;-1;
长;,1;
不好用;,-1;
不错;好;,1;1;
,
垃圾;本来错;可恶;欺骗;,-1;1;-1;-1;
好;细心;很好;,1;1;1;
有问题;差评;,-1;-1;
慢;不理;不是着急;理解;不理;不好;发错;,-1;-1;1;1;-1;-1;-1;
郁闷;,-1;
挺准;敏感;挺大;好;高;,1;1;1;1;1;
假;,-1;
不错;,1;
太慢;不错;慢;无法忍受;无伤大雅;差评;,-1;1;-1;-1;1;-1;
新;新;不错;及时;不错;伤心;好;不高;不好;,1;1;1;1;1;-1;1;0;-1;
赞;不错;喜欢;,1;1;1;
还行;,1;
,
好;不好用;过敏;不舒服;,1;-1;-1;-1;
失望;,-1;
很多;满意;,1;1;
,
,
缺憾;无法方便;正品;精细;耐用;不错;很多;,-1;-1;1;1;1;1;1;
,
好;,1;
很好;喜欢;棒;,1;1;1;
不错;足;快;省心;,1;1;1;1;
,
可以;不正常;无语;有问题;不容易;超快;,1;-1;-1;-1;1;1;
很棒;挺好;很棒;,1;1;1;
很大;不合适;,1;-1;
不敢快;不起火;亏死;太差;厉害;垃圾;,-1;1;-1;-1;1;-1;
挺大;满意;慢;,1;1;-1;
喜欢;,1;
很烫;坑;快;烫;,-1;-1;1;-1;
,
流畅;赞;不错;,1;1;1;
干;,-1;
不错;不错;一般般;差;还可以;,1;1;0;-1;1;
正品;快;好评;,1;1;1;
差;,-1;
单一;还可以;慢;爱理不理;可以;不满意;差评;冷漠;不满意;可以;不是一般;,-1;1;-1;-1;1;-1;-1;-1;-1;1;0;
快;快;很好;很干;,1;1;1;-1;
很差;不满意;很差;,-1;-1;-1;
一般;,0;
贵;可以;贵;,-1;1;-1;
,
不错;稍贵;,1;-1;
好;,1;
麻烦;,-1;
喜欢;,1;
破碎;野蛮;,-1;-1;
不错;喜欢;很快;,1;1;1;
平民;赞;信任;很快;满意;,1;1;1;1;1;
很好;优厚;,1;1;
不错;很好;,1;1;
差;,-1;
正常;不好;还行;,1;-1;1;
剔透;淡;香;挺好;,1;-1;1;1;
很好;,1;
不舒服;,-1;
,
很好;,1;
还好;,1;
,
不行;一般;干;,-1;0;-1;
脏兮兮;垃圾;,-1;-1;
次;好;随意;,-1;1;1;
还行;,1;
喜欢;,1;
不错;,1;
,
,
可以;不错;清晰;高兴;,1;1;1;1;
慢;,-1;
正品;很慢;未开封;,1;-1;1;
给力;,1;
不怎么好看;太薄;不怎么样;,-1;0;-1;
好;型;淡;精致;,1;1;-1;1;
不值钱;,-1;
很薄;时尚;很好;喜欢;很好;,-1;1;1;1;1;
,
不会有问题;极差;,1;-1;
新;严重;失望;,1;-1;-1;
正品;滋润;不错;满意;,1;1;1;1;
差;太差;好;不理;,-1;-1;1;-1;
失败;还好;正常;,-1;1;1;
,
还行;好;贵;,1;1;-1;
便宜;满意;,1;1;
可以;很好;不错;清晰;很快;好评;,1;1;1;1;1;1;
差评;正品;,-1;1;
足够;静;很好;小了点;高;给力;凉;,1;1;1;-1;1;1;0;
狗屎;无耻;垃圾;,-1;-1;-1;
挺大;,1;
不少;超薄;便宜;好;划算;专业;好;好评;便宜;,1;1;1;1;1;1;1;1;1;
不好用;难闻;差评;,-1;-1;-1;
没好;一般;,-1;0;
推荐;不错;实惠;,1;1;1;
不好;,-1;
不错;不错;,1;1;
假货;好;容易;,-1;1;1;
慢;,-1;
清楚;喜欢;,1;1;
不错;喜欢;,1;1;
太浓;,-1;
不错;,1;
不好;还好;无语;不好;不能理解;没有很厚;假;,-1;1;-1;-1;-1;-1;-1;
不错;,1;
很快;可以;不错;,1;1;1;
薄;好;,0;1;
,
正品;不错;赞;很快;,1;1;1;1;
很好;满意;,1;1;
更好;,1;
便宜;便宜;坑人;明显;,1;1;-1;0;
好;次;漂亮;正常;顺畅;不错;可以;很好;好用;,1;-1;1;1;1;1;1;1;1;
垃圾;,-1;
不错;喜欢;强;,1;1;1;
好;辛苦;,1;1;
差评;,-1;
挺小;便宜;一般;,1;1;0;
喜欢;好评;,1;1;
不错;足;,1;1;
无语;假;,-1;-1;
挺快;失望;太差;薄;,1;-1;-1;0;
,
不愉快;很好;,-1;1;
不错;,1;
很强;不错;挺好;,1;1;1;
假货;,-1;
可以;,1;
一般;挺贵;,0;1;
倒霉;,-1;
错;贵;,-1;-1;
好;开心;不错;放心;,1;1;1;1;
脏;,-1;
,
粗糙;,-1;
困难;过于;简单;不错;,-1;-1;1;1;
很好;不错;帅气;,1;1;1;
好;,1;
不好用;可怜;,-1;-1;
臭;,-1;
,
差;一般;不行了;,-1;0;0;
不是很大;可以;,-1;1;
,
很爽;够大;正合适;,1;1;1;
给力;慢;不给力;,1;-1;-1;
差;差评;不严重;,-1;-1;1;
伤感;迷你;好;太贵;划算;,-1;1;1;-1;1;
失望;,-1;
有问题;,-1;
不值;不好;,-1;-1;
疼;好;,-1;1;
很高;满意;,1;1;
不好用;垃圾;,-1;-1;
假货;,-1;
还可以;满意;,1;1;
好吃;,1;
赞;信赖;值得;喜欢;,1;1;1;1;
不满意;,-1;
过气;好;,-1;1;
好;,1;
不错;,1;
容易;,1;
不错;很好;,1;1;
一般;不太好;,0;-1;
,
慢;还行;高;疼;,-1;1;1;-1;
快;高;,1;1;
业余;,-1;
,
破;很差;,-1;-1;
大不如前;,-1;
漏气;,-1;
失望;,-1;
便宜;很好;,1;1;
还行;可以;够大;,1;1;1;
好;,1;
完好;快;,1;1;
坏;,-1;
能用;还可以;凑合;行;,1;1;0;1;
脆弱;还好;裂缝;,-1;1;-1;
不适;差;,-1;-1;
不好;,-1;
麻痹;不好;肿;过敏;,-1;-1;-1;-1;
浪费;垃圾;,-1;-1;
高;很好;,1;1;
,
,
不好;,-1;
失望;差评;,-1;-1;
心烦;不管用;,-1;-1;
很好;厚;不是方便;,1;0;-1;
高;还好;实惠;没有高速;,1;1;1;-1;
一般;好;,0;1;
一般;不值;太高;,0;-1;-1;
快;不好;好;,1;-1;1;
静音;很高;满意;表扬;顺利;值得;好评;很棒;很好;方便;,1;1;1;1;1;1;1;1;1;1;
信赖;次;很好;满意;过多;,1;-1;1;1;-1;
不准;低下;,-1;-1;
发错;随便;,-1;-1;
可以;气定神闲;方便;,1;1;1;
容易;随便;,1;-1;
便宜;真品;快;舒服;好;,1;1;1;1;1;
用不上;,-1;
实惠;挺好;可以;,1;1;1;
喜欢;不错;,1;1;
喜欢;实惠;高;,1;1;1;
还可以;,1;
慢;还可以;,-1;1;
大气;实惠;不错;不错;好;不错;快;,1;1;1;1;1;1;1;
正品;假货;,1;-1;
喜欢;,1;
,
好;信赖;值得;值得;满意;,1;1;1;1;1;
挺好;犹豫;很久;很好;够大;靠谱;,1;-1;-1;1;1;1;
可以;不满意;不错;挺好;,1;-1;1;1;
不好;,-1;
,
满意;很好;负责任;,1;1;1;
差劲;没人接;太差;,-1;-1;-1;
,
垃圾;,-1;
ok;挺好;,1;1;
不喜欢;,-1;
慢;,-1;
,
还可以;,1;
二手;不怎么好;,-1;-1;
,
,
还行;方便;,1;1;
老顾客;满意;好评;,1;1;1;
不干净;,-1;
没有好;合适;挺好;负责;,-1;1;1;1;
慎用;不好;油腻;偏干;,-1;-1;-1;-1;
,
不错;挺好;,1;1;
清晰;快;不错;,1;1;1;
,
,
不满意;不干净;,-1;-1;
,
一般般;失望;,0;-1;
不错;一般;满意;,1;0;1;
不咋的;挺好;,-1;1;
满意;好评;,1;1;
不好;,-1;
不好;,-1;
没讲究;可以;,-1;1;
,
正规;损伤;丰富;没有麻烦;,1;-1;1;1;
痒;很硬;,-1;-1;
推荐;很好;值得;,1;1;1;
方便;,1;
还行;长;还好;不着急;,1;1;1;1;
,
漏气;挺坑;,-1;-1;
,
强;弱;,1;-1;
,
坏;垃圾;,-1;-1;
很好;不错;可以;,1;1;1;
不错;,1;
刺鼻;,-1;
很好;,1;
淡淡的;很好;很好;滑滑的;,1;1;1;1;
难吃;,-1;
假货;太稀;,-1;-1;
不错;不贴合;很坑;容易;,1;-1;-1;1;
,
不错;好用;,1;1;
正品;过敏;不敢恭维;,1;-1;-1;
,
不好用;,-1;
不错;,1;
方便;很好;,1;1;
经济;实惠;方便;,1;1;1;
,
,
不好;,-1;
破;干;,-1;-1;
不错;不怎么好;,1;-1;
重;偏小;,-1;-1;
合适;,1;
,
值得;还可以;高;,1;1;1;
失望;,-1;
很好;满意;,1;1;
假货;很重;,-1;-1;
凉凉的;,1;
蛮好;满意;,1;1;
不好;垃圾;,-1;-1;
凑合;慢;,0;-1;
严重;可以;垃圾;,-1;1;-1;
不影响;挺好;,0;1;
很薄;很大;滑滑的;喜欢;好看;满意;不卡;光亮;,-1;1;1;1;1;1;1;1;
美好;一般;光滑;不舒服;,1;0;1;-1;
正品;,1;
很好;没什么保障;,1;-1;
不错;正常;,1;1;
一般;,0;
不错;满意;,1;1;
刺痛;很干;,-1;-1;
差评;,-1;
方便;,1;
郁闷;,-1;
不错;很好;很好;,1;1;1;
太粘;滑滑的;,-1;1;
华而不实;报废;,-1;-1;
简易;凑合;,1;0;
很好;满意;,1;1;
经济;实惠;快;挺好;,1;1;1;1;
不值;,-1;
,
太高;,-1;
负责任;赞;,1;1;
好;挺好;挺好;,1;1;1;
挺费;本来省事;挺重;瘪;明显;好;,-1;-1;1;-1;0;1;
挺好;,1;
烂;烂货;烂;,-1;-1;-1;
次品;不好吃;不对;,-1;-1;-1;
不错;好;快;,1;1;1;
挺好;喜欢;,1;1;
不错;,1;
清晰;可以;,1;1;
慢;不是一般;,-1;0;
很好;,1;
满意;,1;
本来清楚;,-1;
很快;,1;
不满意;,-1;
花哨;无语;,-1;-1;
无语;,-1;
很差;,-1;
可以;,1;
充不了;很多;不行;,-1;1;-1;
,
坑人;,-1;
没的说;信任;值得;,1;1;1;
失望;好;破;恶心;失望;,-1;1;-1;-1;-1;
不好;还好;,-1;1;
不好用;,-1;
坑;,-1;
保证;次;,1;-1;
不清楚;慢;,-1;-1;
坏;,-1;
可惜;合适;不错;不是出色;持久;极高;,-1;1;1;-1;1;-1;
干;,-1;
蛮快;不错;蛮高;,1;1;1;
很好;舒服;,1;1;
假;痒;,-1;-1;
差;,-1;
很大;还可以;,1;1;
喜欢;,1;
没差劲;有问题;实事求是;差;漏发;可以;好评;好评;,1;-1;1;-1;-1;1;1;1;
行;没反应;有问题;不行;,1;-1;-1;-1;
不行;很香;,-1;1;
,
单薄;摇晃;,-1;-1;
不满意;,-1;
残次品;次;差;差;看不清;脱落;极差;明显;无语;垃圾;,-1;-1;-1;-1;-1;-1;-1;0;-1;-1;
不多;没有好;,0;-1;
浓郁;,1;
太贵;,-1;
可以;,1;
不太好;太差;,-1;-1;
合适;挺好;清晰;,1;1;1;
一般般;很差;,0;-1;
很重;磨痕;,-1;-1;
很好;喜欢;,1;1;
还可以;好;还行;,1;1;1;
不错;挺好;满意;快;,1;1;1;1;
点赞;,1;
挺好;飘逸;,1;1;
喜欢;,1;
,
热心;好;,1;1;
使用方便;好;,1;1;
破破烂烂;透明;差评;,-1;1;-1;
够用;挺好;,1;1;
,
差;好;垃圾;,-1;1;-1;
不想可以;适合;火大;硬;,-1;1;-1;-1;
不错;喜欢;,1;1;
好;超高;负责;很好;满意;不卡;,1;0;1;1;1;1;
不好;新;忧伤;,-1;1;-1;
,
,
标准;厉害;满意;很足;,0;1;1;1;
,
不满意;差评;静音;,-1;-1;1;
,
差;慢;次;窝心;单一;正规;,-1;-1;-1;-1;-1;1;
不错;,1;
,
不开心;可以;安心;,-1;1;1;
短;不好;,-1;-1;
明显;差评;不足;,0;-1;-1;
不错;实惠;,1;1;
不高兴;,-1;
,
好用;,1;
,
很暖;方便;,1;1;
容易;赞;好;好;静音;,1;1;1;1;1;
不怎么好吃;亏了;很少;,-1;-1;1;
挺烦;失望;,-1;-1;
摇摇晃晃;一般;一般;,-1;0;0;
,
慢;,-1;
享受;,1;
薄;一般;,0;0;
太贵;,-1;
一般;,0;
不值;,-1;
方便;,1;
很多;贵;,1;-1;
坏;失望;,-1;-1;
长;疙瘩;,1;-1;
恰到好处;推荐;喜欢;很美;自然;,1;1;1;1;1;
,
失败;失望;,-1;-1;
,
麻烦;,-1;
愉快;免费;好;及时;关心;,1;1;1;1;1;
争气;不好;,1;-1;
很好;值得;,1;1;
坏;很快;好;,-1;1;1;
,
物美价廉;经济;不错;实惠;好;,1;1;1;1;1;
小小的;,-1;
不行;太薄;,-1;0;
不错;,1;
慢;好;,-1;1;
利索;不错;,1;1;
透明;清澈;不是正品;,1;1;-1;
还行;一般般;,1;0;
一般;,0;
不错;也好;节能;静音;,1;1;1;1;
不行;,-1;
慢;差;厚;慢;差评;贵;重;,-1;-1;0;-1;-1;-1;-1;
不错;好;,1;1;
,
裂缝;很多;二手货;瑕疵;,-1;1;-1;-1;
不错;,1;
不正品;还可以;,-1;1;
不怎么好喝;怪怪的;,-1;-1;
假货;,-1;
挺好;,1;
,
,
不错;给力;赞;很快;很长;很好;,1;1;1;1;1;1;
差不多;正品;免费;,0;1;1;
不耐用;差不多;,-1;0;
很大;不干;不错;好;,1;1;1;1;
能用;,1;
详细;不错;,1;1;
好;,1;
垃圾;,-1;
还可以;,1;
好;挺好;辛苦;,1;1;1;
差评;,-1;
,
自然;不合适;,1;-1;
可爱;不错;,1;1;
还行;对得起;,1;1;
挺快;,1;
不错;不对;准时;不错;,1;-1;1;1;
好少;,-1;
震撼;流畅;不错;流畅;挺好;,1;1;1;1;1;
很少;不是划算;,1;-1;
不错;实用;很好;实惠;清新;满意;结实;便宜;,1;1;1;1;1;1;1;1;
,
不错;可以;喜欢;,1;1;1;
小贵;,-1;
拆过;,-1;
不好;差;很干;,-1;-1;-1;
挺好;,1;
,
不错;,1;
没什么差;漏;挺快;好;泛白;,1;-1;1;1;-1;
不是清楚;,-1;
很干;,-1;
很好;,1;
还行;,1;
不错;,1;
坑;垃圾;,-1;-1;
,
还可以;好;,1;1;
不是好;模糊;不是很好;,-1;-1;-1;
正品;耐用;差;耐心;,1;1;-1;1;
挺好;贵;,1;-1;
好;,1;
不舒服;很少;,-1;1;
不错;慢;,1;-1;
,
,
还行;,1;
不错;贵;,1;-1;
不行;破;黏糊糊;干净;,-1;-1;-1;1;
,
很多;正品;,1;1;
一般;差不多;,0;0;
还行;,1;
不错;,1;
满意;给力;,1;1;
不错;,1;
不错;,1;
便宜;不错;,1;1;
,
实用;美观大方;还可以;,1;1;1;
不准确;好;,-1;1;
不符;,-1;
温和;不正常;不适合;怪怪的;,1;-1;-1;-1;
瑕疵;浪费;垃圾;,-1;-1;-1;
严重;无语;,-1;-1;
不是很大;不够大;很快;,-1;-1;1;
积极;不错;,1;1;
不错;喜欢;,1;1;
差评;不好;,-1;-1;
不稳;失望;,-1;-1;
,
,
,
,
失望;,-1;
差;不错;,-1;1;
不错;不错;快;,1;1;1;
不错;不油;,1;1;
生动;曲折;还可以;,1;-1;1;
,
难吃;浪费;差评;,-1;-1;-1;
没有合意;可以;满意;不错;失望;,-1;1;1;1;-1;
挺好;,1;
不错;还可以;不错;贵;,1;1;1;-1;
很大;太低;可以;,1;-1;1;
给力;清楚;可以;,1;1;1;
快;很好;不卡;,1;1;1;
慎重;垃圾;,-1;-1;
不错;淡淡的;很好;,1;1;1;
不错;很好;,1;1;
适合;不不适;暗;一般;,1;1;-1;0;
超值;满意;,1;1;
不错;蛮好;,1;1;
不好;不好;失败;吓人;随意;好;,-1;-1;-1;-1;1;1;
足够;挺好;合适;,1;1;1;
不值;一般般;,-1;0;
次;较小;差;可以;过多;,-1;-1;-1;1;-1;
一塌糊涂;,-1;
满意;,1;
还好;不够牢固;,1;-1;
节能;好;,1;1;
不咋的;后悔;,-1;-1;
一般;不怎么样;,0;-1;
不错;实惠;,1;1;
太差;如实;敏感;,-1;1;1;
不爽;,-1;
坏;无语;,-1;-1;
不是很好;,-1;
深层;,1;
不错;喜欢;给力;,1;1;1;
,
